Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_ValidateSearchFieldItem_DDT,Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:33,20-03-2025 11:30:44,28m - 11.161s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:34,20-03-2025 11:03:16,42.541s,PASSED
"DATA BINDING - {""item"":""smart home control"",""category"":""Alexa Skills""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:34,20-03-2025 11:02:41,6.667s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:41,20-03-2025 11:02:44,2.868s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:44,20-03-2025 11:02:52,8.449s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:52,20-03-2025 11:02:54,2.119s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:02:54,20-03-2025 11:03:15,20.318s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:15,20-03-2025 11:03:16,1.618s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:16,20-03-2025 11:03:44,28.069s,PASSED
"DATA BINDING - {""item"":""fire stick"",""category"":""Amazon Devices""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:16,20-03-2025 11:03:20,3.721s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:20,20-03-2025 11:03:29,8.709s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:29,20-03-2025 11:03:36,7.510s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:36,20-03-2025 11:03:37,0.927s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:37,20-03-2025 11:03:43,5.593s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:43,20-03-2025 11:03:44,1.533s,PASSED
,,,,,,,
Test Cases/TC_Amazon_ValidateSearchFieldItem_003,Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:44,20-03-2025 11:04:10,26.004s,PASSED
"DATA BINDING - {""item"":""shoes"",""category"":""Amazon Fashion""}",,,,,,,
"openBrowser("""")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:44,20-03-2025 11:03:48,3.500s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:48,20-03-2025 11:03:55,7.153s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), category, true)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:03:55,20-03-2025 11:04:02,7.340s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_field-keywords""), item)",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:02,20-03-2025 11:04:03,0.759s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_Search Amazon.in_nav-search-submit-button""))",Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:03,20-03-2025 11:04:09,5.693s,PASSED
closeBrowser(),Edge Chromium 134.0.3124.72,,,20-03-2025 11:04:09,20-03-2025 11:04:10,1.530s,PASSED
,,,,,,,
