Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Amazon_NewUserRegistration,Edge Chromium 134.0.3124.72,,,21-03-2025 15:55:21,21-03-2025 16:05:34,10m - 13.016s,FAILED
,,,,,,,
Test Cases/TC_Amazon_NewUserRegistration_001,Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:16,21-03-2025 16:05:34,2m - 17.432s,FAILED
Start listener action : sampleBeforeTestCase,Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:16,21-03-2025 16:03:24,7.662s,PASSED
"mouseOver(findTestObject(""Object Repository/Amazon_NewUserRegistration_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/span_Account  Lists_nav-icon nav-arrow""))",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:24,21-03-2025 16:03:26,1.912s,PASSED
"click(findTestObject(""Amazon_NewUserRegistration_OR/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Start here""))",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:26,21-03-2025 16:03:28,1.852s,PASSED
"setText(findTestObject(""Amazon_NewUserRegistration_OR/Page_Amazon Registration/input_Your name_customerName""), ""kim smith"")",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:28,21-03-2025 16:03:29,1.014s,PASSED
delay(5),Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:29,21-03-2025 16:03:34,5.017s,PASSED
"setText(findTestObject(""Amazon_NewUserRegistration_OR/Page_Amazon Registration/input_IN 91_email""), ""7586749895"")",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:34,21-03-2025 16:03:35,0.854s,PASSED
delay(5),Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:35,21-03-2025 16:03:40,5.018s,PASSED
"setEncryptedText(findTestObject(""Amazon_NewUserRegistration_OR/Page_Amazon Registration/input_Password_password""), ""k/7Oj5LYQEE="")",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:40,21-03-2025 16:03:40,0.527s,PASSED
delay(5),Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:40,21-03-2025 16:03:45,5.025s,PASSED
"click(findTestObject(""Amazon_NewUserRegistration_OR/Page_Amazon Registration/input_Passwords must be at least 6 characters_continue""))",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:45,21-03-2025 16:03:46,0.524s,PASSED
delay(5),Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:46,21-03-2025 16:03:51,5.031s,PASSED
"setText(findTestObject(""Amazon_NewUserRegistration_OR/Page_Authentication required/input_Enter OTP_code""), ""234567"")",Edge Chromium 134.0.3124.72,,,21-03-2025 16:03:51,21-03-2025 16:04:27,35.716s,FAILED
delay(20),Edge Chromium 134.0.3124.72,,,21-03-2025 16:04:27,21-03-2025 16:04:47,20.011s,PASSED
"click(findTestObject(""Amazon_NewUserRegistration_OR/Page_Authentication required/input_Please enter the verification code_a-button-input""))",Edge Chromium 134.0.3124.72,,,21-03-2025 16:04:47,21-03-2025 16:05:22,35.586s,FAILED
delay(10),Edge Chromium 134.0.3124.72,,,21-03-2025 16:05:22,21-03-2025 16:05:32,10.017s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 134.0.3124.72,,,21-03-2025 16:05:32,21-03-2025 16:05:34,1.587s,PASSED
